secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group,date
RU000A0JUV08,TQCB,ГПБ БО-10,2024-06-07,97.8,97.69,97.23,97.93,97.62,6868,6704863.1,16.54,17.26,2024-09-26,3.6,,16.3,8.15,41.08,1000.0,RUB,58,2024-06-08
RU000A0JV1X3,TQCB,РоснфтБО3,2024-06-07,97.78,97.75,97.03,97.92,97.72,130,127034.9,14.97,15.12,2024-11-28,5.7,,2.06,9.4,46.87,1000.0,RUB,58,2024-06-08
RU000A0JV219,TQCB,РоснфтБО9,2024-06-07,97.49,97.23,97.23,97.49,97.48,407,396761.9,15.7,15.73,2024-11-28,5.7,,2.06,9.4,46.87,1000.0,RUB,58,2024-06-08
RU000A0JV375,TQCB,ГТЛК БО-03,2024-06-07,97.24,97.13,96.65,97.26,97.18,42,40814.6,17.28,17.43,2024-12-10,5.87,,24.84,10.42,25.98,1000.0,RUB,58,2024-06-08
RU000A0JV3R1,TQCB,РСХБ БО15,2024-06-07,98.33,97.35,97.35,98.33,98.0,3,2940.1,12.58,13.33,2024-12-13,6.0,,19.79,8.6,21.44,1000.0,RUB,58,2024-06-08
RU000A0JVA10,TQCB,ГТЛК БО-04,2024-06-07,99.05,99.0,98.76,99.51,99.01,179,177226.5,16.07,16.14,2025-03-06,8.67,,0.38,13.8,34.41,1000.0,RUB,58,2024-06-08
RU000A0JVBX1,TQCB,ЗенитБО-09,2024-06-07,99.19,98.91,98.91,99.19,99.01,21,20792.9,2.89,3.52,2025-03-27,3.6,2024-09-30,0.19,0.1,0.5,1000.0,RUB,58,2024-06-08
RU000A0JVD25,TQCB,РусГидро09,2024-06-07,91.0,91.0,91.0,91.0,91.0,1,910.0,11.8,11.8,2025-04-15,10.3,,0.01,0.01,0.05,1000.0,RUB,58,2024-06-08
RU000A0JVHH1,TQCB,ТрансФБО39,2024-06-07,92.22,90.61,90.23,95.9,91.67,53,48583.3,18.2,18.94,2025-06-04,11.7,,0.47,8.5,42.38,1000.0,RUB,58,2024-06-08
RU000A102K96,TQOD,ВЭБ1P-23В,2024-06-07,96.2,95.9,95.9,97.0,96.1754,13,12525.04,5.99,6.01,2025-12-17,17.9,,15.14,3.25,16.21,1000.0,USD,193,2024-06-08
RU000A1040E8,TQOD,ЦифрБро1П2,2024-06-07,92.4,92.4799,92.0001,92.48,92.2986,19,17536.75,9.36,9.41,2026-11-06,27.43,,4.22,5.5,13.71,1000.0,USD,193,2024-06-08
RU000A105146,TQOD,ПИК К 1P5,2024-06-07,95.7,95.7,95.7,95.78,95.7184,8,7656.8,7.73,7.72,2026-11-19,28.07,,2.93,5.63,28.36,1000.0,USD,193,2024-06-08
RU000A1056U0,TQOD,ГазКЗ-27Д,2024-06-07,95.75,95.55,94.98,95.99,95.56,52,49876.7,6.66,6.74,2027-03-23,31.67,,10.18,4.95,24.75,1000.0,USD,193,2024-06-08
RU000A105BY1,TQOD,ГазКЗ-28Е,2024-06-07,80.75,81.8,80.5,82.0,81.2649,70,62085.18,7.04,6.88,2028-11-17,51.53,,11.1627,1.85,18.5,1000.0,EUR,193,2024-06-08
RU000A105C51,TQOD,ГазКЗ-24Е,2024-06-07,96.7,96.7,96.7,96.7,97.5647,1,1052.08,10.01,7.89,2024-11-22,5.5,,13.2408,2.25,22.5,1000.0,EUR,193,2024-06-08
XS2063279959,TQOD,ALFA-30,2024-06-07,92.7,92.7,92.7,92.7,92.8173,13,12051.0,15.81,15.64,2030-04-15,10.13,,8.5944,5.95,29.75,1000.0,USD,193,2024-06-08
RU000A105104,TQOY,РУСАЛ БО05,2024-06-07,99.3998,99.3399,99.1016,99.3999,99.3932,1869,1857679.61,8.52,8.57,2027-07-28,1.67,2024-08-05,13.68,3.9,19.45,1000.0,CNY,245,2024-06-08
RU000A105112,TQOY,РУСАЛ БО06,2024-06-07,99.26,99.3919,98.9006,99.4,99.3756,1678,1667519.07,9.62,8.71,2027-07-28,1.67,2024-08-05,13.68,3.9,19.45,1000.0,CNY,245,2024-06-08
RU000A1054W1,TQOY,Полюс Б1P2,2024-06-07,92.2997,92.649,91.8011,92.649,92.0998,2383,2194570.56,6.61,6.68,2027-08-24,36.53,,10.52,3.8,18.95,1000.0,CNY,245,2024-06-08
RU000A1057A0,TQOY,МЕТАЛИН1P1,2024-06-07,99.1,98.9111,98.9111,99.3,99.121,2683,2659444.3,6.82,6.74,2024-09-13,3.1,,7.13,3.1,7.73,1000.0,CNY,245,2024-06-08
RU000A1057D4,TQOY,МЕТАЛИН1P2,2024-06-07,92.9543,93.2499,92.9543,93.2499,93.2107,389,362599.34,6.25,6.15,2027-09-10,37.0,,8.52,3.7,9.22,1000.0,CNY,245,2024-06-08
RU000A1057S2,TQOY,Роснфт2P12,2024-06-07,99.1501,99.1998,99.0514,99.2,99.1999,18459,18311304.52,6.37,6.17,2032-09-07,3.27,2024-09-20,6.68,3.05,15.21,1000.0,CNY,245,2024-06-08
RU000A105C44,TQOY,РУСАЛ 1Р1,2024-06-07,97.16,98.1821,96.6,98.1821,96.9647,100,96964.68,7.3,7.55,2025-04-24,10.47,,4.42,3.75,18.7,1000.0,CNY,245,2024-06-08
RU000A105EW9,TQOY,Сегежа3P1R,2024-06-07,83.2,82.8601,82.8601,83.5853,83.2936,210,174773.22,19.18,19.08,2037-10-22,16.57,2025-11-06,3.3,4.15,10.35,1000.0,CNY,245,2024-06-08
